 status,sorting_algorithm,array_type,array_size,num_iterations,total_time_s,min_time_s,max_time_s,avg_time_s,avg_elements_per_second
SUCCESS,            merge,    sorted,   8192000,            10,    2.864571,  0.285187,  0.289396,  0.286457,        28597650.398611
SUCCESS,            merge,    sorted,  16384000,            10,    6.263581,  0.625249,  0.626945,  0.626358,        26157560.666973
SUCCESS,            merge,    sorted,  32768000,            10,   13.080776,  1.297867,  1.327905,  1.308078,        25050501.591037
SUCCESS,            merge,  reversed,      1000,            10,    0.000190,  0.000018,  0.000027,  0.000019,        52631578.947368
SUCCESS,            merge,  reversed,      2000,            10,    0.000376,  0.000036,  0.000041,  0.000038,        53191489.361702
SUCCESS,            merge,  reversed,      4000,            10,    0.000791,  0.000075,  0.000108,  0.000079,        50568900.126422
SUCCESS,            merge,  reversed,      8000,            10,    0.001580,  0.000156,  0.000176,  0.000158,        50632911.392405
SUCCESS,            merge,  reversed,     16000,            10,    0.004046,  0.000321,  0.000514,  0.000405,        39545229.856649
SUCCESS,            merge,  reversed,     32000,            10,    0.007327,  0.000660,  0.000817,  0.000733,        43674082.161867
SUCCESS,            merge,  reversed,     64000,            10,    0.015528,  0.001433,  0.001862,  0.001553,        41215868.109222
SUCCESS,            merge,  reversed,    128000,            10,    0.029430,  0.002730,  0.003276,  0.002943,        43493034.318722
SUCCESS,            merge,  reversed,    256000,            10,    0.059433,  0.005522,  0.006515,  0.005943,        43073713.256945
SUCCESS,            merge,  reversed,    512000,            10,    0.118978,  0.011528,  0.012793,  0.011898,        43033165.795357
SUCCESS,            merge,  reversed,   1024000,            10,    0.248885,  0.024421,  0.025949,  0.024888,        41143500.010045
SUCCESS,            merge,  reversed,   2048000,            10,    0.517872,  0.050924,  0.054085,  0.051787,        39546451.632836
SUCCESS,            merge,  reversed,   4096000,            10,    1.080674,  0.106951,  0.109805,  0.108067,        37902272.100559
SUCCESS,            merge,  reversed,   8192000,            10,    2.263370,  0.223374,  0.240494,  0.226337,        36193817.184110
SUCCESS,            merge,  reversed,  16384000,            10,    5.003035,  0.489633,  0.520576,  0.500304,        32748121.890013
SUCCESS,            merge,  reversed,  32768000,            10,   10.212496,  1.014245,  1.035808,  1.021250,        32086181.478064
SUCCESS,   merge_parallel,    random,      1000,            10,    0.000776,  0.000075,  0.000086,  0.000078,        12886597.938144
SUCCESS,   merge_parallel,    random,      2000,            10,    0.001664,  0.000163,  0.000172,  0.000166,        12019230.769231
SUCCESS,   merge_parallel,    random,      4000,            10,    0.003829,  0.000355,  0.000478,  0.000383,        10446591.799425
SUCCESS,   merge_parallel,    random,      8000,            10,    0.008496,  0.000757,  0.000951,  0.000850,         9416195.856874
SUCCESS,   merge_parallel,    random,     16000,            10,    0.017281,  0.001589,  0.001998,  0.001728,         9258723.453504
SUCCESS,   merge_parallel,    random,     32000,            10,    0.034643,  0.003360,  0.003600,  0.003464,         9237075.311030
SUCCESS,   merge_parallel,    random,     64000,            10,    0.068746,  0.006649,  0.007098,  0.006875,         9309632.560440
SUCCESS,   merge_parallel,    random,    128000,            10,    0.144242,  0.014140,  0.015381,  0.014424,         8873975.679760
SUCCESS,   merge_parallel,    random,    256000,            10,    0.302273,  0.029900,  0.032019,  0.030227,         8469165.290979
SUCCESS,   merge_parallel,    random,    512000,            10,    0.635313,  0.063097,  0.066528,  0.063531,         8059019.727284
SUCCESS,   merge_parallel,    random,   1024000,            10,    1.339212,  0.132879,  0.137042,  0.133921,         7646287.518332
SUCCESS,   merge_parallel,    random,   2048000,            10,    2.805151,  0.278986,  0.281993,  0.280515,         7300854.748996
SUCCESS,   merge_parallel,    random,   4096000,            10,    5.876071,  0.585440,  0.589323,  0.587607,         6970644.160018
SUCCESS,   merge_parallel,    random,   8192000,            10,   12.225253,  1.219976,  1.224975,  1.222525,         6700883.818110
SUCCESS,   merge_parallel,    random,  16384000,            10,   26.061926,  2.601670,  2.612674,  2.606193,         6286565.313707
SUCCESS,   merge_parallel,    random,  32768000,            10,   54.664626,  5.418637,  5.635086,  5.466463,         5994370.106913
SUCCESS,   merge_parallel,    sorted,      1000,            10,    0.000216,  0.000020,  0.000029,  0.000022,        46296296.296296
SUCCESS,   merge_parallel,    sorted,      2000,            10,    0.000484,  0.000043,  0.000070,  0.000048,        41322314.049587
SUCCESS,   merge_parallel,    sorted,      4000,            10,    0.000965,  0.000089,  0.000120,  0.000097,        41450777.202073
SUCCESS,   merge_parallel,    sorted,      8000,            10,    0.001917,  0.000188,  0.000217,  0.000192,        41731872.717788
SUCCESS,   merge_parallel,    sorted,     16000,            10,    0.005141,  0.000395,  0.000722,  0.000514,        31122349.737405
SUCCESS,   merge_parallel,    sorted,     32000,            10,    0.008767,  0.000824,  0.000910,  0.000877,        36500513.288468
SUCCESS,   merge_parallel,    sorted,     64000,            10,    0.019489,  0.001799,  0.002452,  0.001949,        32839037.405716
SUCCESS,   merge_parallel,    sorted,    128000,            10,    0.037239,  0.003376,  0.004691,  0.003724,        34372566.395446
SUCCESS,   merge_parallel,    sorted,    256000,            10,    0.074444,  0.006991,  0.008496,  0.007444,        34388265.004567
SUCCESS,   merge_parallel,    sorted,    512000,            10,    0.153011,  0.014844,  0.016463,  0.015301,        33461646.548287
SUCCESS,   merge_parallel,    sorted,   1024000,            10,    0.318434,  0.031344,  0.034729,  0.031843,        32157370.130074
SUCCESS,   merge_parallel,    sorted,   2048000,            10,    0.663388,  0.065811,  0.069556,  0.066339,        30871827.648375
SUCCESS,   merge_parallel,    sorted,   4096000,            10,    1.379677,  0.137146,  0.141327,  0.137968,        29688108.158649
SUCCESS,   merge_parallel,    sorted,   8192000,            10,    2.868914,  0.286092,  0.289561,  0.286891,        28554358.896781
SUCCESS,   merge_parallel,    sorted,  16384000,            10,    6.260312,  0.624707,  0.627451,  0.626031,        26171219.581388
SUCCESS,   merge_parallel,    sorted,  32768000,            10,   13.019434,  1.298073,  1.304950,  1.301943,        25168528.831591
SUCCESS,   merge_parallel,  reversed,      1000,            10,    0.000195,  0.000018,  0.000028,  0.000020,        51282051.282051
SUCCESS,   merge_parallel,  reversed,      2000,            10,    0.000420,  0.000038,  0.000057,  0.000042,        47619047.619048
SUCCESS,   merge_parallel,  reversed,      4000,            10,    0.000811,  0.000076,  0.000104,  0.000081,        49321824.907522
SUCCESS,   merge_parallel,  reversed,      8000,            10,    0.001592,  0.000156,  0.000175,  0.000159,        50251256.281407
SUCCESS,   merge_parallel,  reversed,     16000,            10,    0.004090,  0.000321,  0.000524,  0.000409,        39119804.400978
