 status,sorting_algorithm,array_type,array_size,num_iterations,total_time_s,min_time_s,max_time_s,avg_time_s,avg_elements_per_second
SUCCESS,        insertion,    random,      1000,            10,    0.010162,  0.000994,  0.001040,  0.001016,          984058.256249
SUCCESS,        insertion,    random,      2000,            10,    0.040356,  0.003959,  0.004074,  0.004036,          495589.255625
SUCCESS,        insertion,    random,      4000,            10,    0.161719,  0.015814,  0.016363,  0.016172,          247342.612804
SUCCESS,        insertion,    random,      8000,            10,    0.649111,  0.063967,  0.065656,  0.064911,          123245.484979
SUCCESS,        insertion,    random,     16000,            10,    2.584330,  0.255696,  0.261245,  0.258433,           61911.597977
SUCCESS,        insertion,    random,     32000,            10,   10.325549,  1.025175,  1.038564,  1.032555,           30991.088222
SUCCESS,        insertion,    random,     64000,            10,   41.342151,  4.116482,  4.156135,  4.134215,           15480.568488
SUCCESS,        insertion,    sorted,      1000,            10,    0.000002,  0.000000,  0.000001,  0.000000,      5000000000.000000
SUCCESS,        insertion,    sorted,      2000,            10,    0.000010,  0.000001,  0.000001,  0.000001,      2000000000.000000
SUCCESS,        insertion,    sorted,      4000,            10,    0.000028,  0.000002,  0.000003,  0.000003,      1428571428.571429
SUCCESS,        insertion,    sorted,      8000,            10,    0.000059,  0.000005,  0.000006,  0.000006,      1355932203.389831
SUCCESS,        insertion,    sorted,     16000,            10,    0.000120,  0.000012,  0.000012,  0.000012,      1333333333.333333
SUCCESS,        insertion,    sorted,     32000,            10,    0.000235,  0.000023,  0.000024,  0.000023,      1361702127.659575
SUCCESS,        insertion,    sorted,     64000,            10,    0.000470,  0.000047,  0.000047,  0.000047,      1361702127.659575
SUCCESS,        insertion,  reversed,      1000,            10,    0.019813,  0.001980,  0.001984,  0.001981,          504719.123808
SUCCESS,        insertion,  reversed,      2000,            10,    0.079958,  0.007994,  0.007997,  0.007996,          250131.318942
SUCCESS,        insertion,  reversed,      4000,            10,    0.321263,  0.032123,  0.032129,  0.032126,          124508.580198
SUCCESS,        insertion,  reversed,      8000,            10,    1.287896,  0.128783,  0.128801,  0.128790,           62116.816886
SUCCESS,        insertion,  reversed,     16000,            10,    5.157656,  0.515719,  0.515821,  0.515766,           31021.844031
SUCCESS,        insertion,  reversed,     32000,            10,   20.641894,  2.064088,  2.064586,  2.064189,           15502.453409
SUCCESS,        insertion,  reversed,     64000,            10,   82.593036,  8.258822,  8.260289,  8.259304,            7748.837323
SUCCESS,            merge,    random,      1000,            10,    0.000547,  0.000051,  0.000064,  0.000055,        18281535.648995
SUCCESS,            merge,    random,      2000,            10,    0.001119,  0.000111,  0.000113,  0.000112,        17873100.983021
SUCCESS,            merge,    random,      4000,            10,    0.002420,  0.000240,  0.000246,  0.000242,        16528925.619835
SUCCESS,            merge,    random,      8000,            10,    0.005188,  0.000517,  0.000525,  0.000519,        15420200.462606
SUCCESS,            merge,    random,     16000,            10,    0.011086,  0.001106,  0.001113,  0.001109,        14432617.716038
SUCCESS,            merge,    random,     32000,            10,    0.023569,  0.002351,  0.002365,  0.002357,        13577156.434299
SUCCESS,            merge,    random,     64000,            10,    0.049969,  0.004982,  0.005023,  0.004997,        12807940.923372
SUCCESS,            merge,    random,    128000,            10,    0.105821,  0.010540,  0.010718,  0.010582,        12095897.789664
SUCCESS,            merge,    random,    256000,            10,    0.223609,  0.022287,  0.022631,  0.022361,        11448555.290708
SUCCESS,            merge,    random,    512000,            10,    0.471284,  0.046934,  0.047599,  0.047128,        10863937.668158
SUCCESS,            merge,    random,   1024000,            10,    0.988546,  0.098577,  0.099676,  0.098855,        10358647.953661
SUCCESS,            merge,    random,   2048000,            10,    2.067720,  0.206446,  0.208311,  0.206772,         9904629.253477
SUCCESS,            merge,    random,   4096000,            10,    4.358105,  0.434613,  0.437043,  0.435810,         9398580.346274
SUCCESS,            merge,    random,   8192000,            10,    9.049998,  0.902256,  0.915588,  0.905000,         9051935.702085
SUCCESS,            merge,    random,  16384000,            10,   18.990540,  1.895492,  1.906527,  1.899054,         8627453.458406
